timestamp,symbol,price,volume,change,change_percent,date,hour,minute
2025-12-07 13:54:27.531465,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,54
2025-12-07 13:54:27.836769,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,54
2025-12-07 13:55:28.078356,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,55
2025-12-07 13:55:28.315624,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,55
2025-12-07 13:55:28.548170,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,55
2025-12-07 13:55:28.781561,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,55
2025-12-07 13:55:29.071301,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,55
2025-12-07 13:56:29.315704,AAPL,278.78,47265845,-1.92,-0.6840%,2025-12-07,13,56
2025-12-07 13:56:29.585170,GOOGL,321.27,28851705,3.65,1.1492%,2025-12-07,13,56
2025-12-07 13:56:29.892830,MSFT,483.16,22608710,2.32,0.4825%,2025-12-07,13,56
2025-12-07 13:56:30.201173,AMZN,229.53,33117377,0.42,0.1833%,2025-12-07,13,56
2025-12-07 13:56:30.508402,TSLA,455.0,56427522,0.47,0.1034%,2025-12-07,13,56
